SGB19-MERGED-SGB450-MERGED-SGB685	248
SGB711	137
SGB570	284
SGB161	539
SGB160	997
SGB163	16
SGB162	23
SGB164	7
SGB167	27
SGB166	208
SGB248	58
SGB249	285
SGB240	32
SGB241	142
SGB242	95
SGB243	31
SGB244	47
SGB245	44
SGB246	1306
SGB247	327
SGB409	7
SGB648	362
SGB645	407
SGB647	29
SGB640	241
SGB641	464
SGB642	89
SGB643	239
SGB425	105
SGB426	1201
SGB427	34
SGB384	240
SGB387	147
SGB428	205
SGB383	24
SGB382	143
SGB545	46
SGB543	140
SGB541	52
SGB52	35
SGB53	3
SGB50	126
SGB51	27
SGB56	27
SGB224-MERGED-SGB546	19
SGB58	229
SGB59	19
SGB568	117
SGB491	955
SGB490	454
SGB493	67
SGB492	129
SGB497	76
SGB499	617
SGB498	1302
SGB330	17
SGB331	10
SGB332	5
SGB333	142
SGB334	112
SGB335	155
SGB152-MERGED-SGB210	40
SGB339	1251
SGB681	37
SGB209	51
SGB204	3429
SGB205	169
SGB206	49
SGB200	61
SGB201	266
SGB202	217
SGB293	28
SGB728	121
SGB723	889
SGB722	425
SGB720	49
SGB727	697
SGB503	295
SGB502	22
SGB501	44
SGB500	591
SGB507	41
SGB506	233
SGB504	134
SGB509	80
SGB508	183
SGB118	7
SGB119	35
SGB290	128
SGB522	952
SGB112	5
SGB113	34
SGB114	6
SGB116	7
SGB117	274
SGB298	123
SGB617	972
SGB616	291
SGB615	420
SGB598	129
SGB599	153
SGB611	206
SGB610	117
SGB595	57
SGB597	19
SGB619	1252
SGB593	1293
SGB374	74
SGB375	62
SGB377	1403
SGB370	2634
SGB371	10
SGB372	548
SGB378	708
SGB379	264
SGB576	623
SGB575	120
SGB572	556
SGB573	41
SGB479	101
SGB571	342
SGB477	308
SGB476	8
SGB475	39
SGB474	174
SGB473	37
SGB578	23
SGB579	144
SGB187	200
SGB186	5
SGB185	68
SGB184	2306
SGB183	363
SGB182	49
SGB181	14
SGB180	37
SGB28	5
SGB23	41
SGB22	6
SGB20	26
SGB27	10
SGB25	111
SGB24	3
SGB231	50
SGB631	261
SGB618	3948
SGB257	58
SGB256	215
SGB253	452
SGB251	16
SGB626	10387
SGB155	15
SGB156	52
SGB157	9
SGB622	109
SGB151	18
SGB620	162
SGB258	899
SGB712	387
SGB713	428
SGB658	536
SGB717	735
SGB714	119
SGB718	918
SGB432	629
SGB431	11
SGB430	54
SGB434	123
SGB439	164
SGB438	2828
SGB538	266
SGB539	1209
SGB532	1546
SGB530	528
SGB531	11
SGB536	10
SGB534	742
SGB440-MERGED-SGB8	124
SGB67	52
SGB64	95
SGB63	1037
SGB62	35
SGB61	90
SGB60	11
SGB87	16
SGB86	211
SGB81	31
SGB80	36
SGB82	175
SGB478	62
SGB89	81
SGB446	162
SGB683-MERGED-SGB710	72
SGB329	62
SGB328	69
SGB326	53
SGB323	3541
SGB321	140
SGB449	181
SGB547-MERGED-SGB66	23
SGB213-MERGED-SGB29-MERGED-SGB85	87
SGB140	100
SGB470	1321
SGB354-MERGED-SGB731	229
SGB381	65
SGB219	53
SGB212	11
SGB211	24
SGB217	97
SGB216	72
SGB215	7
SGB214	66
SGB154-MERGED-SGB94	112
SGB107	5
SGB106	2693
SGB105	395
SGB101	10
SGB100	339
SGB653-MERGED-SGB75	229
SGB268	45
SGB269	659
SGB266	12
SGB267	326
SGB264	33
SGB265	774
SGB262	356
SGB263	148
SGB274-MERGED-SGB386	268
SGB662	196
SGB663	486
SGB661	101
SGB666	62
SGB667	326
SGB665	69
SGB582	29
SGB668	623
SGB669	1706
SGB585	33
SGB281	17
SGB360	3193
SGB367	412
SGB699	809
SGB365	29
SGB364	19
SGB368	203
SGB565	90
SGB564	86
SGB567	102
SGB566	123
SGB563	9
SGB562	59
SGB569	121
SGB407	291
SGB404	184
SGB405	84
SGB34	183
SGB35	60
SGB36	827
SGB31	102
SGB288	92
SGB38	234
SGB289	19
SGB691	212
SGB122	175
SGB316	32
SGB317	67
SGB314	119
SGB313	335
SGB310	15
SGB318	8
SGB220	163
SGB148	265
SGB638	27
SGB635	133
SGB637	209
SGB223	10
SGB149	8
SGB221	59
SGB639	85
SGB227	15
SGB225	86
SGB143	17
SGB142	125
SGB228	16
SGB636	161
SGB147	126
SGB146	2182
SGB145	127
SGB144	285
SGB704	203
SGB707	745
SGB706	252
SGB708	264
SGB528	49
SGB9	8
SGB138	12
SGB139	67
SGB521	694
SGB5	32
SGB6	10
SGB7	132
SGB525	101
SGB524	349
SGB2	107
SGB3	130
SGB79	3
SGB70	35
SGB72	75
SGB74	336
SGB76	15
SGB77	13
SGB97	8
SGB95	17
SGB90	5
SGB91	129
SGB99	69
SGB455	7
SGB358	159
SGB359	155
SGB451	428
SGB453	39
SGB352	57
SGB353	40
SGB351	543
SGB459	16
SGB357	373
SGB271-MERGED-SGB361	64
SGB238-MERGED-SGB660	22
SGB137	1602
SGB419	235
SGB134	15
SGB171	179
SGB176	7
SGB177	20
SGB175	24
SGB179	58
SGB558	16
SGB275	210
SGB277	66
SGB276	135
SGB153	448
SGB270	17
SGB272	78
SGB671	342
SGB670	170
SGB673	49
SGB674	7699
SGB677	117
SGB678	272
SGB398	399
SGB397	79
SGB394	62
SGB392	71
SGB393	8
SGB550	959
SGB418	92
SGB552	13
SGB553	13
SGB554	451
SGB556	3164
SGB411	155
SGB559	161
SGB415	1543
SGB26-MERGED-SGB655	53
SGB417	10
SGB416	561
SGB41	117
SGB40	292
SGB43	25
SGB45	2
SGB44	8814
SGB46	27
SGB49	19
SGB48	63
SGB482	39
SGB483	6382
SGB480	6
SGB486	14
SGB487	1987
SGB484	154
SGB485	204
SGB488	218
SGB489	116
SGB194-MERGED-SGB472	54
SGB305	19
SGB136	95
SGB307	12
SGB306	61
SGB303	23
SGB302	1205
SGB309	56
SGB523	16
SGB135	135
SGB1	11
SGB527	419
SGB592-MERGED-SGB93	246
SGB108	432
SGB129-MERGED-SGB301-MERGED-SGB54-MERGED-SGB604	154
SGB608	133
SGB609	44
SGB233	12
SGB232	310
SGB235	129
SGB234	29
SGB600	2447
SGB601	35
SGB602	79
SGB603	688
SGB605	56
SGB606	135
SGB628	5148
SGB698	85
SGB627	49
SGB624	157
SGB732	152
SGB514	44
SGB515	231
SGB516	74
SGB510	6
SGB511	93
SGB512	188
SGB513	118
SGB376-MERGED-SGB410	323
SGB518	62
SGB284	6
SGB285	37
SGB287	54
SGB280	22
SGB128	10
SGB282	82
SGB283	50
SGB124	11
SGB695	2144
SGB126	7
SGB121	72
SGB120	43
SGB123	203
SGB690	499
SGB130	40
SGB441	50
SGB460	76
SGB461	158
SGB463	110
SGB466	144
SGB467	57
SGB341	29
SGB469	85
SGB342	19
SGB345	3863
SGB344	409
SGB347	672
SGB346	2022
SGB190	31
SGB191	22
SGB192	3074
SGB406	883
SGB195	2048
SGB196	76
SGB197	352
SGB198	720
SGB199	50
SGB308	55
SGB18	818
SGB16	3
SGB17	16
SGB14	106
SGB15	4
SGB12	9
SGB10	31
SGB11	571
SGB580	296
SGB692	79
SGB456	97
